City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
LA,Woodland Hills (City of LA),0,0,2,145,65350,38984596,2610,3200,4170,5710,6400,0.001676303
LA,East Los Angeles,0,0,0,9,67179,11357617,1360,1680,2180,2980,3340,0.005914885
LA,Echo Park/Silverlake (City of LA),0,0,2,95,67869,11163835,1480,1820,2360,3240,3620,0.006079363
LA,Lynwood,0,0,0,0,69745,12703572,1480,1820,2360,3240,3620,0.005490188
LA,Panorama City (City of LA),0,0,1,96,69817,9730355,1710,2080,2720,3730,4180,0.007175175
LA,Reseda (City of LA),0,0,1,97,74363,17083043,1800,2200,2860,3920,4400,0.00435303
LA,Huntington Park/Walnut Park,0,0,0,0,75066,9638256,1340,1640,2140,2940,3280,0.007788338
LA,Redondo Beach/Torrance,0,0,0,1,75364,22116055,2470,3020,3940,5400,6050,0.00340766
LA,Canoga Park (City of LA),0,0,2,119,77086,30054392,1180,1440,1880,2580,2886.666666,0.002564883
LA,Hollywood (City of LA),1,1,2,296,79917,28210668,1720,2113.333334,2753.333334,3766.666666,4226.666666,0.002832865
LA,Burbank,0,0,0,3,81902,33191440,1326,1616,2110,2894,3240,0.002467564
LA,Gardena,0,0,0,24,84103,29925051,1546.666667,1900,2473.333334,3386.666666,3793.333334,0.002810455
LA,Athens,2,2,2,34,89779,13303825,1420,1740,2280,3120,3500,0.00674836
LA,Lake View Terrace (City of LA)/Sylmar (City of LA),2,2,3,60,91725,143422182,1900,2340,3040,4160,4660,0.000639545
LA,Hawthorne (Holly Park),0,0,0,1,93193,17375880,1520,1860,2420,3320,3720,0.005363354
LA,South Gate,0,0,0,1,94396,19222788,1460,1800,2340,3200,3600,0.00491063
LA,Downtown Los Angeles (City of LA),2,2,5,456,97094,17047166,1420,1744,2268,3112,3484,0.005695609
LA,Hancock Park (City of LA),0,0,2,234,101147,10822013,1570,1930,2510,3440,3850,0.009346413
LA,Bell/Bell Gardens/Cudahy,0,0,0,3,101279,15670274,1560,1900,2480,3400,3800,0.006463129
LA,North Hollywood,1,1,1,130,101301,22846328,1540,1890,2460,3370,3780,0.004434017
LA,Arleta (City of LA)/Pacoima (City of LA),0,0,1,80,103689,23048758,1840,2260,2940,4020,4520,0.004498681
LA,Downey,0,0,0,3,111772,32583253,1325,1615,2110,2895,3240,0.003430351
LA,Glendale,0,0,0,3,118647,58732255,1486.666667,1816.666667,2370,3248.333334,3641.666666,0.002020134
LA,Pasadena,0,0,0,8,153114,66101116,1583.333333,1931.666667,2521.666666,3458.333334,3873.333334,0.00231636
LA,Van Nuys (City of LA),0,0,1,233,166616,43947785,1477.5,1802.5,2355,3230,3615,0.003791226
LA,South Central (City of LA),4,4,9,313,381653,58194441,1462.857143,1788.571429,2331.428572,3197.142858,3582.857142,0.006558238
SF,Bayview-Hunters Point,2,2,1,155,33996,15566151,1840,2260,2780,3800,4560,0.00218397
SF,Castro/Noe Valley,2,2,2,215,31124,3691502,2640,3220,3980,5460,6540,0.008431256
SF,Chinatown,1,1,1,217,13768,699434,1620,2000,2460,3360,4040,0.019684488
SF,Haight-Ashbury,4,4,1,193,39169,4372283,2540,3120,3840,5260,6300,0.008958478
SF,Hayes Valley/Tenderloin/North of Market,9,9,1,432,31176,1737493,1520,1860,2300,3140,3780,0.017943094
SF,Ingelside-Excelsior/Crocker-Amazon,4,4,2,189,79407,8712507,2140,2620,3240,4440,5320,0.009114139
SF,Inner Mission/Bernal Heights,16,16,2,545,69333,6034796,2140,2600,3220,4400,5280,0.011488872
SF,Inner Richmond,5,5,1,236,38319,5106525,2320,2840,3500,4800,5740,0.007503929
SF,Lake Merced,0,0,2,130,28129,9354165,2620,3200,3960,5420,6500,0.00300711
SF,Marina,0,0,2,165,23088,2866147,2800,3440,4240,5800,6960,0.008055414
SF,North Beach/Chinatown,5,5,1,415,26237,2602499,2280,2780,3440,4720,5640,0.010081464
SF,Outer Richmond,1,1,1,157,41203,8042964,2300,2820,3480,4760,5720,0.005122863
SF,Parkside/Forest Hill,2,2,1,89,43698,6793787,2520,3080,3800,5200,6240,0.006432053
SF,Polk/Russian Hill (Nob Hill),6,6,0,376,55984,3372018,1940,2380,2940,4020,4820,0.016602521
SF,Potrero Hill,1,1,1,412,26599,4875049,3160,3860,4760,6520,7820,0.00545615
SF,South of Market,7,7,0,497,27170,3512156,1820,2240,2760,3780,4540,0.007735989
