ZipCode,Area
2126,5455225
2127,6821036
2128,15513931
2129,4758847
2130,8964001
2131,6727291
2132,12061426
2134,3553121
2135,7396893
2136,12166506
2138,7936273
2139,4399395
2140,3041781
2141,1686409
2142,1293999
2143,3997108
2144,2808602
2145,3849955
2148,13163659
2149,9503626
2150,6357041
2151,18481878
2152,8188224
2155,22685504
2163,288892
2169,27032720
2170,5580905
2171,11301906
2176,12337604
2180,17221492
2184,37717766
2186,34462425
2188,10011461
2189,10831274
2190,19811194
2191,7964209
2199,148951
2203,80317
2210,3803771
2215,2259090
2301,32646300
2302,23092378
2322,11752186
2324,73584125
2330,102911093
2332,72142271
2333,45413596
2338,45053248
2339,40646103
2341,40793670
2343,18427001
2346,186332041
2347,94113148
2351,25624795
2356,36320730
2357,1299914
2359,60813159
2360,281313710
2364,51262340
2366,2521348
2367,39111171
2368,27614680
2370,26922451
2375,38089478
2379,40595479
2382,18033377
2420,17179161
2421,25928094
2445,6860356
2446,3345617
2451,16132318
2452,9666803
2453,9797973
2457,413241
2458,5282876
2459,13180811
2460,3504226
2461,3803870
2462,1439067
2464,1492648
2465,5810641
2466,4852383
2467,12760960
2468,3890421
2472,10761083
2474,8612653
2476,5613766
2478,12220923
2481,14859601
2482,11941633
2492,25585520
2493,44891718
2494,7386603
2532,43780849
2534,7413771
2535,128994448
2536,80762801
2537,32924886
2538,12986018
2539,122540309
2540,32296720
2542,79704562
2543,78073707
2553,2405394
2554,144750935
2556,11198549
2557,29785314
2558,5897752
2559,16874871
2561,1810204
2562,9509307
2563,36943662
2564,17685001
2568,27338241
2571,63993037
2575,75784735
2576,26369196
2584,193854
2601,24404619
2630,15612350
2631,64100674
2632,22741018
2633,32196244
2635,17121876
2637,1889214
2638,16788683
2639,8119476
2641,5970118
2642,44877686
2643,9562353
2644,9795522
2645,47715808
2646,8599986
2647,1704381
2648,26693568
2649,70840183
2650,4470323
2651,181584
2652,27192151
2653,44847676
2655,21470529
2657,37814129
2659,5915080
2660,21333771
2663,6528203
2664,20229062
2666,37735228
2667,64394784
2668,45394392
2669,2824556
2670,7087914
2671,5529939
2672,1398234
2673,32684272
2675,25305817
2702,46427638
2703,72031349
2713,31423072
2715,31009667
2717,47854624
2718,27646951
2719,40739604
2720,32520147
2721,15703920
2723,4705889
2724,6286640
2725,12970467
2726,17835375
2738,51680545
2739,50606071
2740,16844411
2743,49081949
2744,4688388
2745,27328508
2746,5792344
2747,130318593
2748,66393544
2760,47878790
2762,29832828
2763,2367104
2764,27586228
2766,75919193
2767,62445876
2769,122978185
2770,89560488
2771,48210299
2777,65438271
2779,45134657
2780,89135146
2790,165362545
2791,2741220
2802,554384
2804,26384194
2806,39969639
2807,31779579
2808,20743560
2809,53360554
2812,17402161
2813,108594848
2814,122177731
2815,11052788
2816,105682063
2817,132779753
2818,65398928
2822,147163121
2825,142712010
2826,6557151
2827,55634542
2828,13347958
2830,51546968
2831,32137078
2832,59173519
2833,19579848
2835,38973216
2836,799920
2837,64950671
2838,3925140
2839,11616353
2840,27629291
2841,3494870
2842,39904989
2852,88758335
2857,118585067
2858,1610750
2859,76953507
2860,14770902
2861,9528827
2863,3309703
2864,72998740
2865,45122086
2871,60329158
2872,26200153
2873,7709362
2874,41896057
2875,3005991
2876,731347
2878,83614186
2879,109861012
2881,9397511
2882,46252792
2885,22571191
2886,44303891
2888,18495888
2889,43704225
2891,80749274
2892,75978356
2893,20978928
2894,11524290
2895,20545261
2896,63349869
2898,30238102
2903,5929701
2904,13758263
2905,14487571
2906,10172808
2907,6020598
2908,8186711
2909,9025912
2910,9379449
2911,6542852
2912,112446
2914,13655391
2915,20528358
2916,7660428
2917,58183853
2919,63118674
2920,24367804
2921,34338603
3031,91132381
3032,74339113
3033,52138928
3034,86390626
3036,67517794
3037,128017631
3038,95458101
3042,67805740
3043,82578833
3044,44515362
3045,93954406
3046,81222994
3047,69769026
3048,76686950
3049,83708353
3051,75811810
3052,39578042
3053,106687909
3054,86500111
3055,64527130
3057,43609437
3060,17846674
3062,31714780
3063,21361763
3064,11664694
3070,112408315
3071,85601904
3076,69758868
3077,78238863
3079,66953437
3082,74278619
3084,58133717
3086,70121122
3087,72167543
3101,2306374
3102,24001023
3103,26288919
3104,21946163
3106,96992595
3109,21344600
3110,85775018
3215,125730306
3216,101009780
3217,29840597
3218,36841508
3220,84870843
3221,120848515
3222,202423526
3223,191791863
3224,106089280
3225,78980995
3226,43113358
3227,175091754
3229,116959506
3230,106752789
3231,6212016
3233,1408609
3234,89521476
3235,81427196
3237,97392277
3238,7306724
3240,110368021
3241,112991147
3242,115820181
3243,68989639
3244,218060110
3245,92489986
3246,68800518
3249,139053887
3251,391442047
3253,137640593
3254,193323737
3255,101438977
3256,101588274
3257,67387344
3258,54427881
3259,60853584
3260,64179474
3261,77996631
3262,148633241
3263,63762657
3264,97329455
3266,269256314
3268,79455165
3269,128868515
3273,16036371
3275,112330272
3276,105505913
3278,162077684
3279,119720382
3280,123365247
3281,155099749
3282,108367523
3284,102520111
3285,131519091
3287,68419172
3290,123361302
3291,468160
3293,4458779
3301,135392806
3303,179233755
3304,73616823
3307,130437170
3431,156033361
3440,95823429
3441,10156799
3442,29498628
3443,29065949
3444,75543519
3445,52301959
3446,111324404
3447,94327936
3448,50455109
3449,80860665
3450,52199799
3451,61020861
3452,103716070
3455,62083403
3456,68418737
3457,63579269
3458,139195525
3461,103409230
3462,53903466
3464,133924500
3465,46050023
3466,41196652
3467,94523864
3470,228126067
3561,142395445
3570,276862295
3574,235567381
3575,72013750
3576,371035468
3579,1506118248
3580,247319756
3581,392939283
3582,224855857
3583,131242065
3584,155380713
3585,211698026
3586,43572827
3588,374683053
3590,274527611
3592,883477062
3593,241940785
3595,95168695
3597,140321463
3598,162389061
3601,50045198
3602,151922160
3603,116197030
3604,1287903
3605,84948098
3607,40320572
3608,90565956
3609,3208384
3740,89885028
3741,203837803
3743,161014934
3745,92385336
3746,18540035
3748,117948749
3750,32787570
3751,8428293
3752,58469449
3753,72518834
3754,99446
3755,96446557
3765,11766622
3766,83612389
3768,141732476
3770,12816927
3771,60898198
3773,242231160
3774,69190767
3777,120681324
