City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
la,Atwater VilLAge (City of LA),11,1,2,56,28514,10278733,1800,2200,2880,3940,4420,27.74077
la,Hollywood (City of LA),17,1,2,296,79917,28210668,1720,2113.333333,2753.333333,3766.666667,4226.666667,28.32865
la,Century City (City of LA),0,0,0,31,2424,849895,1760,2140,2800,3840,4300,28.52117
la,Eagle Rock (City of LA),13,1,1,59,27425,9383338,1720,2120,2760,3780,4240,29.22734
la,"Northridge (City of LA), California State University",2,0,1,1,2702,882333,1760,2140,2800,3840,4300,30.62336
la,Wilshire Blvd (City of LA),3,1,0,77,3800,1184445,2520,3080,4020,5500,6180,32.08254
la,Mount Olympus (City of LA),12,0,1,88,48581,14974008,1920,2340,3060,4200,4700,32.44355
la,North Hollywood (City of LA)/Toluca lake (City of LA),4,1,0,50,17473,5370807,1940,2360,3080,4220,4740,32.53329
la,Cypress Park (City of LA)/GLAssell Park (City of LA)/Mt. Washin,20,1,2,47,45527,13674178,1500,1820,2380,3260,3660,33.29414
la,Baldwin Hills/Crenshaw (City of LA)/Leimert Park (City of LA),10,0,0,36,32327,9581974,1520,1860,2420,3320,3720,33.73731
la,Civic Center (City of LA)/Chinatown (City of LA),18,1,1,176,31103,8528623,1500,1840,2400,3280,3680,36.46896
la,El Sereno (City of LA)/Monterey Hills (City of LA),19,0,2,35,45786,12375736,1440,1760,2300,3160,3540,36.99659
la,Van Nuys (City of LA),21,1,1,233,166616,43947785,1477.5,1802.5,2355,3230,3615,37.91226
la,Venice (City of LA),20,0,1,89,28341,7335173,2220,2720,3540,4860,5440,38.63713
la,North Hills (City of LA),1,2,1,43,60254,15344725,1640,2000,2620,3600,4020,39.26691
la,East Los Angeles (City of LA),11,0,1,56,45903,11030884,1400,1700,2220,3040,3400,41.61317
la,Winnetka (City of LA),6,1,0,30,45061,10781255,1700,2080,2720,3720,4180,41.79569
la,Hyde Park (City of LA)/View Park/Windsor Hills,10,0,3,32,44789,10708405,1520,1880,2440,3340,3740,41.82602
la,Mar Vista (City of LA),7,1,2,40,55277,12890748,1920,2340,3060,4200,4700,42.88114
la,Montecito Heights (City of LA),26,2,3,33,39316,9148978,1380,1680,2200,3020,3380,42.97311
la,USC (City of LA),0,2,0,1,3217,742759,1760,2160,2820,3860,4340,43.31149
la,Reseda (City of LA),8,0,1,97,74363,17083043,1800,2200,2860,3920,4400,43.5303
la,North Hollywood (City of LA)/Valley VilLAge (City of LA),0,1,0,43,27927,6376445,1820,2220,2900,3980,4460,43.79713
la,West Beverly (City of LA),1,0,0,112,21397,4882696,2440,2980,3880,5320,5960,43.8221
la,Arleta (City of LA)/Pacoima (City of LA),23,2,1,80,103689,23048758,1840,2260,2940,4020,4520,44.98681
la,Watts (City of LA)/Willowbrook,16,0,0,4,40952,8624370,1500,1820,2380,3260,3660,47.48405
la,West Adams (City of LA),22,1,1,51,47596,9402209,1500,1820,2380,3260,3660,50.62215
la,HighLAnd Park (City of LA),21,1,1,56,62430,12111674,1620,1980,2580,3540,3960,51.54531
la,West Fairfax (City of LA),8,0,1,66,28418,5330221,2300,2800,3660,5020,5620,53.31486
