Name,Zip
Washington Monument,21201
Shot Tower,21202
Harlem Inner Block Parks,21217
Maple Leaf Park,21217
Harlem Inner Block Parks,21217
Reservoir Hill Park,21217
Johnston Square Park,21202
Calvert & Madison Park,21202
Montpelier & 30th St Park,21218
Lafayette Square  Park,21217
Harlem Inner Block Parks,21217
Edgewood / Lyndhurst Park,21229
Little Lithuania Park,21201
Carroll & Archer Park,21230
Rosemont Park,21216
Hull Street Park,21230
Saint Leo's Bocce Park,21202
Hudson & Potomac St. Park,21224
B & O Museum Park,21202
Cecil Kirk Rec Center,21218
Eden & Eager Park,21205
Catonsville Short Line Park,21229
"Mosher, Franklintown & Rosedale",21202
Frederick & Brunswick Traffic Island,21202
"Gelston, Woodington & Wicklow Traffic Island",21202
"Windsor Mill, Gwynns Falls & Lyndhurst",21202
Herring Run Park,21202
Mount Royal Terrace Park,21202
Perkins Spring Square Park,21202
Evesham Avenue Park,21202
Mount Pleasant Park,21202
Bishop Square Park,21202
