"","population","latitude","longitude"
"1053","1685","42.3563014","-72.7135844"
"1054","1851","42.469588","-72.4845016"
"1056","21103","42.1888646","-72.4590785"
"1057","8534","42.0935962","-72.3214936"
"1060","15284","42.3214882","-72.6305882"
"1062","11150","42.3283144","-72.7039227"
"1063","430","42.3188822","-72.6385297"
"1066","64","42.4069028","-72.655018"
"1068","1902","42.3508615","-72.044248"
"1069","8469","42.1877937","-72.308469"
"1070","629","42.5184458","-72.9190166"
"1071","1596","42.1600599","-72.8738533"
"1072","1478","42.4569676","-72.4172444"
"1073","5792","42.2269485","-72.7415876"
"1074","319","42.3876034","-72.0932298"
"1075","17527","42.2563463","-72.5807631"
"1077","9502","42.0525703","-72.7773529"
"1079","692","42.1974236","-72.32702"
"1080","2334","42.182218","-72.3656537"
"1081","1698","42.0613129","-72.2344109"
"1082","10322","42.2935327","-72.2785992"
"1083","2888","42.2036423","-72.1945994"
"1084","176","42.3923696","-72.882235"
"1085","41117","42.1535029","-72.771602"
"1086","687","42.1304462","-72.7939672"
"1088","670","42.3917093","-72.6464939"
"1089","28391","42.1254511","-72.6497341"
"1092","1394","42.1918678","-72.2351075"
"1093","325","42.4351211","-72.6549626"
"1094","351","42.3591081","-72.1367997"
"1095","14319","42.1273273","-72.4274037"
"1096","2217","42.3971395","-72.7635717"
"1097","111","42.1780378","-72.8326115"
"1098","1101","42.3943148","-72.9431148"
"1103","2479","42.1041063","-72.5920275"
"1104","22865","42.1340094","-72.5653781"
"1105","12350","42.0952067","-72.5775792"
"1106","16021","42.0475652","-72.5711305"
"1107","11611","42.1210603","-72.6070681"
"1108","26688","42.0806917","-72.5607907"
"1109","30250","42.1196737","-72.5497259"
"1118","14071","42.0937319","-72.5259054"
"1119","14152","42.1249785","-72.5112103"
"1128","2631","42.0922958","-72.4891351"
"1129","7019","42.1190621","-72.4874015"
"1151","8698","42.1518602","-72.5091312"
"1199","0","42.1205631","-72.6044677"
"1201","46504","42.4482361","-73.2737268"
"1220","8603","42.6237991","-73.1167365"
"1222","829","42.058703","-73.3221751"
"1223","2314","42.3122249","-73.1101244"
"1224","182","42.5133557","-73.1955939"
"1225","3117","42.5633634","-73.1535659"
"1226","6945","42.4811191","-73.1350734"
"1229","95","42.2763385","-73.335896"
"1230","8430","42.1729411","-73.3244633"
"1235","2766","42.4306196","-73.0640734"
"1236","1509","42.2664962","-73.3783928"
"1237","2496","42.5478177","-73.2680327"
"1238","6047","42.2975013","-73.2301485"
"1240","4534","42.3678615","-73.269768"
