Zip Code,Inspection Date,Score
78705,1/14/2016,77
78705,1/14/2016,94
78751,1/14/2016,79
78746,1/14/2016,85
78723,1/14/2016,93
78758,1/14/2016,92
78729,1/14/2016,89
78741,1/14/2016,92
78745,1/14/2016,100
78726,1/14/2016,100
78702,1/14/2016,86
78705,1/14/2016,94
78758,1/14/2016,93
78704,1/14/2016,100
78746,1/14/2016,89
78749,1/14/2016,97
78654,1/14/2016,100
78705,1/14/2016,100
78745,1/14/2016,97
78704,1/14/2016,90
78704,1/14/2016,90
78758,1/14/2016,100
78753,1/14/2016,97
78748,1/14/2016,98
78701,1/14/2016,100
78751,1/14/2016,97
78746,1/14/2016,95
78704,1/14/2016,93
78729,1/14/2016,95
78705,1/14/2016,75
78728,1/14/2016,86
78749,1/14/2016,100
78701,1/14/2016,90
78753,1/14/2016,97
78748,1/14/2016,94
78741,1/14/2016,82
78745,1/14/2016,82
78703,1/14/2016,92
78758,1/14/2016,86
78757,1/14/2016,95
78723,1/14/2016,100
78723,1/14/2016,96
78726,1/14/2016,83
78702,1/15/2016,94
78717,1/15/2016,93
78701,1/15/2016,86
78704,1/15/2016,92
78759,1/15/2016,100
78757,1/15/2016,90
78753,1/15/2016,97
78653,1/15/2016,89
78753,1/15/2016,100
78704,1/15/2016,89
78759,1/15/2016,89
78749,1/15/2016,80
78727,1/15/2016,100
78757,1/15/2016,94
78703,1/15/2016,97
78753,1/15/2016,93
78758,1/15/2016,94
78703,1/15/2016,94
78701,1/15/2016,82
78746,1/15/2016,86
78751,1/15/2016,84
78752,1/15/2016,93
78702,1/15/2016,97
78757,1/15/2016,97
78758,1/15/2016,92
78703,1/15/2016,97
78748,1/15/2016,84
78751,1/15/2016,93
78727,1/15/2016,89
78749,1/19/2016,96
78746,1/19/2016,85
78704,1/19/2016,100
78751,1/19/2016,96
78704,1/19/2016,100
78758,1/19/2016,86
78750,1/19/2016,97
78759,1/19/2016,81
78660,1/19/2016,100
78702,1/19/2016,77
78753,1/19/2016,98
78751,1/19/2016,96
78705,1/19/2016,83
78746,1/19/2016,90
78752,1/19/2016,89
78702,1/19/2016,84
78726,1/19/2016,88
78701,1/19/2016,96
78744,1/19/2016,97
78728,1/19/2016,84
78705,1/19/2016,98
78758,1/19/2016,85
78702,1/19/2016,80
78726,1/19/2016,100
78705,1/19/2016,93
78759,1/19/2016,93
78704,1/19/2016,97
78703,1/19/2016,82
78750,1/19/2016,100
78745,1/19/2016,97
78726,1/19/2016,100
78758,1/19/2016,97
78758,1/20/2016,100
78704,1/20/2016,88
78729,1/20/2016,92
78705,1/20/2016,76
78746,1/20/2016,79
78749,1/20/2016,90
78653,1/20/2016,95
78702,1/20/2016,97
78723,1/20/2016,99
78735,1/20/2016,94
78703,1/20/2016,90
78753,1/20/2016,93
78731,1/20/2016,97
78751,1/20/2016,90
78704,1/20/2016,88
78704,1/20/2016,100
78703,1/20/2016,88
78701,1/20/2016,74
78757,1/20/2016,100
78741,1/20/2016,83
78705,1/20/2016,73
78660,1/20/2016,100
78702,1/20/2016,100
78744,1/20/2016,100
78660,1/20/2016,98
78723,1/20/2016,97
78751,1/20/2016,74
78757,1/20/2016,100
78749,1/20/2016,90
78704,1/20/2016,82
78745,1/20/2016,99
78705,1/20/2016,88
78753,1/20/2016,95
78654,1/20/2016,96
78704,1/20/2016,91
78702,1/20/2016,100
78613,1/20/2016,97
78704,1/20/2016,86
78717,1/20/2016,100
78703,1/20/2016,84
78704,1/20/2016,82
78704,1/20/2016,100
78701,1/20/2016,84
78724,1/20/2016,99
78701,1/20/2016,92
78746,1/20/2016,84
78731,1/20/2016,93
78726,1/20/2016,99
78729,1/20/2016,75
78744,1/20/2016,88
78701,1/21/2016,90
78746,1/21/2016,88
78702,1/21/2016,98
