Location Name,ZIP
11th Avenue Park,90043
Venice Beach Recreation Area,90291
Lanark Recreation Center,91304
Reseda Tennis Courts,91335
Westchester Senior Citizen Center,90045
Golf Reservations--All Courses,90039
Watts Community Park,90059
97th Street Pocket Park,90010
Griffith Park Adult Community Center,90027
North Hollywood Skate Park,91601
Boyle Heights Senior Citizen Center,90033
Lanark Park,91304
Elysian Park Tennis Courts,90012
Culver Slauson Park,90230
Jim Gilliam Tennis Courts,90008
Wilton Place Park,90019
LACES (Los Angeles Center for Enriched Studies),90035
Minnie Hill Palmer House / Homestead Acre,91311
Central Avenue Pocket Park,90011
South Seas House - Public Computer Center,90018
Anthony C. Beilenson Park,91316
Echo Park Youth Center - Public Computer Center,90026
Griffith Park - Bird Sanctuary,90027
Pan Pacific Park - Renee's Place,90036
Pan Pacific Senior Activity Center - Public Computer Center,90036
Carey Ranch Park,91342
Whitnall Dog Park,91601
North Hills Community Park,91343
Pan Pacific Park Pool,90036
Robertson Recreation Center,90035
State Street Park,90033
Hansen Dam Aquatic Center,91342
Griffith Observatory,90027
Hermon / Arroyo Seco Tennis Courts,90042
Elysian Park - Buena Vista Meadow Picnic Area,90012
Wilacre Park,91604
Sunland Park,91040
Hermon / Arroyo Seco Park,90042
Palisades Tennis Courts,90272
Alvarado Terrace Park,90006
MacArthur Park Community Center - Public Computer Center,90057
MacArthur Park Community Center,90057
Pan Pacific Senior Activity Center,90036
61st Street Pocket Park,90003
El Sereno North Park,90032
Robertson Youth Center,90035
Rosewood Gardens,90036
Pan Pacific Park Recreation Complex,90036
Cleveland High School Indoor Pool,91335
Benny H. Potter West Adams Avenues Memorial Park,90018
Lake View Terrace Recreation Center,91342
Downey Youth Center,90031
Temescal Canyon Park,90272
Moorpark Park,91604
Echo Park Tennis Courts,90026
South Park Tennis Courts,90011
Echo Park Indoor Pool,90026
Stonehurst Recreation Center,91352
Amistad Park,91331
Van Ness Recreation Center,90043
Sycamore Grove Park,90042
Julian C. Dixon Ave. Park / 48th Street Park,90037
San Pedro Welcome Park,90731
Griffith Park - Cedar Grove,90027
Glen Alla Park Tennis Courts,90292
Mar Vista Park,90066
Rancho Cienega Skate Park,90016
Exposition Park Rose Garden,90037
Glassell Park Senior Citizen Center,90063
Silver Lake Park,90026
Palisades Park (Pacific Palisades),90272
Martin Luther King Junior Park,90062
Delano Recreation Center - Public Computer Center,91411
Lafayette Community Center,90057
Hansen Dam Park,91342
Seoul International Recreation Center - Public Computer Center,90006
Shatto Park,90020
Point Fermin Lighthouse Museum,90731
Rose Hill Park,90032
El Escorpion Park,91307
Valley Village Park,91601
South Los Angeles Sports Activity Center,90003
Jim Gilliam Recreation Center - Public Computer Center,90008
Penmar Tennis Courts,90291
Barnsdall Art Center,90027
Teichman Family Magnolia Park,91411
Wilmington Recreation Center,90744
Algin Sutton Youth Center,90044
Westchester Pool,90045
Martin Luther King Jr. Recreation Center,90062
South L.A. Wetlands Park,90011
Cabrillo Marine Aquarium,90731
Knapp Ranch Park West,91307
Barrington Dog Park,90049
Pecan Recreation Center - Public Computer Center,90033
Venice High School Pool,90066
Elysian Park,90012
Pasko Park,91042
Vernon Branch Library Pocket Park,90011
Glassell Park Pool,90065
Rustic Canyon Park,90049
Mar Vista Pool,90066
Jim Gilliam Senior Citizen Center,90008
Central Park Recreation Center,90011
Peck Park Youth Center,90732
Harbor Highlands Park,90731
Wilson Golf Course,90027
Griffith Park - Lake Hollywood Park,90027
Claude Pepper Senior Citizen Center - Public Computer Center,90035
James Slauson Senior Citizen Center,90011
Club Circle Park,90043
Eagle Rock Youth Center,90041
Valley Plaza Pool,91606
Mar Vista Recreation Center,90066
Coldwater Canyon Park,91604
Alma Park,90731
Betty Hill Senior Citizen Center,90018
Aliso Canyon Park Equestrian Center,91326
