Location Name,ZIP
Gilbert W. Lindsay Recreation Center,90011
Encino Park,91316
Olguin Pool,90731
Sepulveda Tennis Courts,91405
Chatsworth Park South Recreation Center,91311
Chevy Chase Recreation Center,90039
Fernangeles Recreation Center,91352
Del Rey Lagoon,90293
Winnetka Recreation Center - Public Computer Center,91306
Jim Gilliam Park,90008
Griffith Park - Travel Town Museum,90027
West Adams Heights Park,90007
Chevy Chase Park,90039
Hansen Dam Golf Course,91331
Echo Park Recreation Center,90026
L.A. Equestrian Center,91506
Pecan Recreation Center,90033
Hollenbeck Park,90033
John S. Gibson Jr. Park,90731
Runnymede Park,91306
Elysian Park - Montecillo De Leo Politi,90012
Saint Andrews Tennis Courts,90047
Eagle Rock Park,90041
Harbor Park Golf Course,90744
Woodland Hills Park (Shoup Park),91367
Harbor City Recreation Center - Public Computer Center,90710
Imperial Courts Skate Park,90059
Anderson Memorial Senior Citizen Center,90731
Lincoln Park Recreation Center - Public Computer Center,90031
Canoga Park Senior Citizen Center,91303
Limekiln Canyon Park,91326
Denker Recreation Center - Public Computer Center,90018
Ross Snyder Recreation Center,90011
Hollenbeck Safe Spot Skate Spot,90033
Lemon Grove Recreation Center - Public Computer Center,90029
Yosemite Park,90041
Hoover Recreation Center,90007
Harding Golf Course,90027
Chesterfield Square Park,90062
Mason  Youth Center,91311
Cypress Recreation Center,90065
Jim Gilliam Park,90008
Panorama City Tennis Courts,91402
Fernangeles Pool,91352
Sherman Oaks Castle Park,91403
Westminster Dog Park,90291
David M. Gonzales / Pacoima Park,91331
Tarzana Park,91356
111th Place Pocket Park,90061
Kagel Canyon Park,91342
Palisades Park,90272
Warner Ranch Park,91367
Echo Park Recreation Center,90026
Circle / Gramercy Park,90047
Northridge Tennis Courts,91324
Harbor Sports Center,90744
Wilmington Recreation Center,90744
Lanark Pool,91304
Gaffey Street Field of Dreams,90731
Fox & Laurel Park,91340
Jackie Tatum / Harvard Pool,90047
Rancho Cienega Park,90016
Westwood Tennis Courts,90024
Ramon D. Garcia Msgr. Recreation Center - Public Computer Center,90023
Ross Snyder Tennis Courts,90011
Jesse Owens Mini Park,91406
Banning Tennis Courts,90744
MacArthur Park,90057
Hope and Peace Park,90057
Queen Anne Park,90016
Hansen Dam Park,91342
Roosevelt High School Pool,90033
Oakwood Recreation Center,90291
Highland Adult Center,90042
Harbor Highlands Park,90731
Penmar Park,90291
Fulton Avenue Park,91605
El Sereno Skate Park,90032
North Weddington Park,91602
Valley Plaza Recreation Center,91606
El Sereno Senior Citizen Center,90032
Ritchie Valens Recreation Center,91331
Robert Wilkinson Multipurpose Senior Citizen Center,91324
Lemon Grove Park,90029
Griffith Park Visitor Center Auditorium,90027
Griffith Park - Autry Museum of Western Heritage,90027
Otis Wallace Children's Campground,91342
Seoul International Recreation Center,90006
Yucca Park Community Center - Public Computer Center,90028
Jackie Tatum / Harvard Park,90047
Montecito Heights Senior Citizen Center,90031
William Nickerson Gardens Park,90059
Panorama City Recreation Center,91402
Loren Miller Tennis Courts,90018
Sunland Skate Park,91040
Van Ness Park,90043
Benny H. Potter West Adams Avenues Memorial Park,90018
Pedlow Skate Park,91316
Irving Schachter Park,90064
Greayer's Oak Park,90065
Griffith Park - Old Zoo Picnic Area,90027
Hollywood Park,90038
Mar Vista Tennis Courts,90066
Watts Cultural Crescent,90059
Hermon / Arroyo Seco Park,90042
Westside Neighborhood Park,90016
Telfair Park (Valleycrest Park),91342
Trinity Park,90011
Grigsby Pocket Park,90059
4600 Orchard Ave Pocket Park,90037
Cypress Park Library,90065
Heritage Square Museum,90031
South Park,90011
De Garmo Park,91352
Sylmar Tennis Courts,91342
Shadow Ranch Park,91307
Peck Park Community Center,90732
Westwood Gardens Park,90024
North Weddington Park Community Center,91602
Griffith Park - Park Center,90027
Westwood Park - Aidan's Place,90025
Lake Street Park,90057
La Mirada Park Acquisition Site,90029
Banning Pool,90744
Sepulveda Recreation Center,91405
Hoover Recreation Center,90007
Central Park Recreation Center - Public Computer Center,90011
Gage and Avalon Pocket Park,90003
6th & Gladys Street Park,90021
Sunland Tennis Courts,91040
Silver Lake Recreation Center,90026
Lanark/Shelby Mini-Park,90041
State Street Recreation Center,90033
Mount Carmel Park,90044
Ross Snyder Pool,90011
Rena Park,90732
Peck Park Tennis Courts,90732
Santa Ynez Canyon Park,90272
Mount Carmel Recreation Center - Public Computer Center,90044
North Hollywood Pool,91601
Palms Park,90064
Wabash Recreation Center,90033
Studio City Tennis Courts,91604
Griffith Park - Park Drive Tennis Courts,90027
Denker Park,90018
Stoner Park,90025
Richard Alatorre Pool,90032
Unidad Park,90026
Ross Snyder Recreation Center - Public Computer Center,90011
Shatto Tennis Courts,90020
Chatsworth Oaks Park,91311
Elysian Valley Recreation Center - Public Computer Center,90039
Via Dolce Park,90292
Griffith Park Dog Park,90027
Chatsworth Park South,91311
Encino Park Tennis Courts,91316
Stetson Ranch Park,91342
Lake Street Park,90057
Palms Youth Center,90064
Westwood Park - Aidan's Place,90025
Palisades-Asilomar Park,90272
North Hollywood Multipurpose Center (Tiara Street Park),91601
Gilbert W. Lindsay Recreation Center,90011
Mid-Valley Senior Citizen Center (Sepulveda Recreation Center),91402
Laurel Canyon Dog Park,90046
Ernest E. Debs Regional Park,90032
Sun Valley Recreation Center - Public Computer Center,91352
Fred Roberts Recreation Center,90011
Fox & Laurel Park,91340
Cabrillo Beach,90731
Van Ness Tennis Courts,90043
Victory - Vineland Recreation Center,91606
Eagle Rock Park,90041
Griffith Park - Ceta Forest,90027
Glassell Park Senior Citizen Center - Public Computer Center,90063
Lincoln Heights Youth Center,90031
Genesee Avenue Park,90016
Rancho Cienega - Ira C. Massey Youth Center - Public Computer Center,90016
Beverly Glen Park,90077
Sycamore Grove Park,90042
Harold A. Henry Park,90016
Pico Union Park,90006
Sycamore Grove Park,90042
Las Palmas Senior Citizen Center,90028
Parthenia Park,91304
Woodbridge Park,91602
Venice Beach,90291
Lou Costello (Hostetter) Recreation Center,90023
Griffith Park,90027
Hollenbeck Lake,90033
Normandale Park,90501
Carlin G. Smith Recreation Center,90065
LAPD SWAT Officer Randal D. Simmons Park,91335
Mason Park,91311
David M. Gonzales / Pacoima Recreation Center,91331
El Paseo De Cahuenga Park,90068
Green Meadows Pool,90003
Dearborn Park,91330
Winnetka Park,91306
Griffith Park Crystal Springs,90027
Glen Alla Park,90292
Eagle Rock Recreation Center,90041
Gage and Avalon Pocket Park,90003
Victory Valley Youth Center - Public Computer Center,91606
Rosecrans Park,90247
Penmar Golf Course,90291
Martin J. Bogdanovich Recreation Center,90732
Jackie Tatum Skate Plaza,90047
Mason Recreation Center,91311
Marson Park,91402
Leland Park,90731
Banning / Wilmington Multipurpose Senior Citizen Center,90744
Cheviot Hills Park,90064
Venice Skate Park,90291
Northridge Park,91324
Boyle Heights Sports Center,90023
Trinity Recreation Center,90011
Runyon Canyon Park,90046
Little Green Acres Park,90044
Van Nuys  Sherman Oaks Recreation Center,91423
Lincoln Heights Senior Citizen Center,90031
West Hills Sports Center,91307
Mason Park,91311
Kittridge Mini-Park,91405
Martin Luther King Jr. Recreation Center,90062
Strathern Park North,91605
Eleanor Green Roberts Indoor Pool,90019
Hermon / Arroyo Seco Park,90042
Tobias Avenue Park,91402
Lafayette Tennis Courts,90057
Anthony C. Beilenson Park,91316
Felicia Mahood Senior Multipurpose Center,90025
Griffith Park Adult Community Center - Public Computer Center,90027
William Nickerson Gardens Recreation Center - Public Computer Center,90059
Verdugo Hills Pool,91042
Encino Women's Club,91316
Augustus F. Hawkins Natural Park,90011
Elysian Park Recreation Center,90012
North Hollywood Senior Citizen Center,91601
Yosemite Tennis Courts,90041
