City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
LA,North Hollywood (City of LA)/Studio City (City of LA),10,0,1,127,29034,13534045,2300,2820,3680,5040,5660,0.002145257
SF,Bayview-Hunters Point,74,2,1,155,33996,15566151,1840,2260,2780,3800,4560,0.00218397
LA,Mission Hills (City of LA),4,0,0,19,18496,8429521,2060,2540,3300,4520,5060,0.002194193
NYC,Mid-Island,21,1,1,2935,85510,37189316,1830,1905,2265,2940,3465,0.002299316
LA,Pasadena,0,0,0,8,153114,66101116,1583.333333,1931.666667,2521.666667,3458.333333,3873.333333,0.00231636
LA,Cheviot Hills (City of LA)/Rancho Park (City of LA),11,0,1,106,25403,10363493,2420,2960,3860,5300,5920,0.002451201
LA,Burbank,2,0,0,3,81902,33191440,1326,1616,2110,2894,3240,0.002467564
LA,Northridge (City of LA),8,0,0,172,60086,23931668,1840,2250,2940,4030,4520,0.002510732
LA,Canoga Park (City of LA),16,0,2,119,77086,30054392,1180,1440,1880,2580,2886.666667,0.002564883
LA,Sherman Oaks (City of LA)/Van Nuys (City of LA),10,0,1,161,54475,20804911,2210,2710,3530,4840,5430,0.002618372
LA,Marina del Rey,4,0,0,52,21576,8131830,2780,3400,4420,6060,6780,0.002653277
LA,Culver City,4,0,0,26,46915,17275808,1035,1265,1650,2260,2535,0.002715647
LA,Compton/Rancho Dominguez,0,0,0,0,49328,17992443,1500,1820,2380,3260,3660,0.002741595
LA,Pepperdine University (Malibu),0,0,0,0,1612,585126,0,0,0,0,0,0.002754962
LA,Atwater Village (City of LA),11,1,2,56,28514,10278733,1800,2200,2880,3940,4420,0.002774077
NYC,South Shore,52,0,5,5100,189185,67496880,1749,1824,2163,2814,3312,0.00280287
LA,Gardena,3,0,0,24,84103,29925051,1546.666667,1900,2473.333333,3386.666667,3793.333333,0.002810455
LA,Hollywood (City of LA),17,1,2,296,79917,28210668,1720,2113.333333,2753.333333,3766.666667,4226.666667,0.002832865
LA,Century City (City of LA),0,0,0,31,2424,849895,1760,2140,2800,3840,4300,0.002852117
LA,Galleria (Glendale),0,0,0,1,328,113997,1760,2140,2800,3840,4300,0.002877269
LA,Manhattan Beach,0,0,0,1,35135,12096152,2270,2770,3610,4950,5540,0.002904643
LA,Eagle Rock (City of LA),13,1,1,59,27425,9383338,1720,2120,2760,3780,4240,0.002922734
Chicago, Edison Park,10,0,1,978,28641,9635928,1620,1840,2180,2780,3240,0.002972314
SF,Lake Merced,68,0,2,130,28129,9354165,2620,3200,3960,5420,6500,0.00300711
LA,"Northridge (City of LA), California State University",2,0,1,1,2702,882333,1760,2140,2800,3840,4300,0.003062336
LA,Wilshire Blvd (City of LA),3,0,0,77,3800,1184445,2520,3080,4020,5500,6180,0.003208254
LA,Mount Olympus (City of LA),12,0,1,88,48581,14974008,1920,2340,3060,4200,4700,0.003244355
LA,North Hollywood (City of LA)/Toluca Lake (City of LA),4,0,0,50,17473,5370807,1940,2360,3080,4220,4740,0.003253329
Chicago,Schorsch Forest View,3,0,1,535,27613,8465988,1620,1840,2180,2780,3240,0.003261639
LA,Cypress Park (City of LA)/Glassell Park (City of LA)/Mt. Washin,20,1,2,47,45527,13674178,1500,1820,2380,3260,3660,0.003329414
Chicago, Middle Edgebrook,24,0,3,2786,81270,24209599,1500,1700,2020,2570,3010,0.003356933
LA,Baldwin Hills/Crenshaw (City of LA)/Leimert Park (City of LA),10,0,0,36,32327,9581974,1520,1860,2420,3320,3720,0.003373731
LA,Redondo Beach/Torrance,0,0,0,1,75364,22116055,2470,3020,3940,5400,6050,0.00340766
LA,Downey,0,0,0,3,111772,32583253,1325,1615,2110,2895,3240,0.003430351
LA,Playa Vista,0,0,1,12,5464,1582611,2780,3400,4420,6060,6780,0.003452522
LA,Civic Center (City of LA)/Chinatown (City of LA),18,0,1,176,31103,8528623,1500,1840,2400,3280,3680,0.003646896
LA,El Sereno (City of LA)/Monterey Hills (City of LA),19,0,2,35,45786,12375736,1440,1760,2300,3160,3540,0.003699659
LA,Hermosa Beach,0,0,0,0,19506,5238068,2740,3360,4380,6000,6720,0.003723892
LA,Van Nuys (City of LA),21,0,1,233,166616,43947785,1477.5,1802.5,2355,3230,3615,0.003791226
LA,East Rancho Dominguez,0,0,0,1,53704,14074957,1520,1860,2420,3320,3720,0.003815571
LA,Venice (City of LA),20,0,1,89,28341,7335173,2220,2720,3540,4860,5440,0.003863713
LA,San Fernando,3,0,0,12,34188,8756157,1730,2110,2760,3780,4240,0.003904453
LA,North Hills (City of LA),1,0,1,43,60254,15344725,1640,2000,2620,3600,4020,0.003926691
LA,Los Angeles,0,0,0,93,7008,1782554,1044.347826,1270.434783,1661.73913,2279.130435,2552.173913,0.003931438
Chicago,Portage Park,4,1,3,2645,74298,18446105,1500,1700,2020,2580,3000,0.004027842
NYC,Stapleton and St. George,51,1,4,4031,123648,30623132,1685,1755,2080,2705,3190,0.004037732
LA,East Los Angeles (City of LA),11,0,1,56,45903,11030884,1400,1700,2220,3040,3400,0.004161317
LA,Winnetka (City of LA),6,0,0,30,45061,10781255,1700,2080,2720,3720,4180,0.004179569
LA,Hyde Park (City of LA)/View Park/Windsor Hills,10,0,3,32,44789,10708405,1520,1880,2440,3340,3740,0.004182602
SF,St. Francis Wood/Miraloma/West Portal,41,1,1,69,19289,4594824,2280,2780,3440,4720,5640,0.004197985
LA,Mar Vista (City of LA),7,0,2,40,55277,12890748,1920,2340,3060,4200,4700,0.004288114
LA,Montecito Heights (City of LA),26,2,3,33,39316,9148978,1380,1680,2200,3020,3380,0.004297311
Chicago,Loop,25,3,3,14072,88015,20475004,2142.857143,2442.857143,2891.428571,3680,4300,0.004298656
LA,USC (City of LA),0,0,0,1,3217,742759,1760,2160,2820,3860,4340,0.004331149
LA,Reseda (City of LA),8,0,1,97,74363,17083043,1800,2200,2860,3920,4400,0.00435303
LA,North Hollywood (City of LA)/Valley Village (City of LA),0,0,0,43,27927,6376445,1820,2220,2900,3980,4460,0.004379713
LA,West Beverly (City of LA),1,0,0,112,21397,4882696,2440,2980,3880,5320,5960,0.00438221
NYC,Port Richmond,22,1,3,2566,70387,15942343,1815,1900,2250,2925,3450,0.004415098
NYC,Northeast Queens,27,0,4,4036,87972,19866762,2047.5,2133.75,2531.25,3292.5,3881.25,0.0044281
LA,North Hollywood,19,1,1,130,101301,22846328,1540,1890,2460,3370,3780,0.004434017
LA,Arleta (City of LA)/Pacoima (City of LA),23,0,1,80,103689,23048758,1840,2260,2940,4020,4520,0.004498681
Chicago,Near West Side,37,14,4,7683,124003,27383756,1713.333333,1946.666667,2306.666667,2940,3426.666667,0.004528342
LA,Beverly Hills,0,0,0,1,19989,4288143,2250,2750,3585,4915,5505,0.004661458
Chicago,Central Station,6,0,1,2021,24668,5256796,2280,2600,3080,3920,4580,0.004692592
LA,Watts (City of LA)/Willowbrook,16,0,0,4,40952,8624370,1500,1820,2380,3260,3660,0.004748405
LA,Compton/Rosewood/Willowbrook,0,0,0,0,31869,6692763,1520,1860,2420,3320,3720,0.004761711
LA,South Gate,0,0,0,1,94396,19222788,1460,1800,2340,3200,3600,0.00491063
SF,Twin Peaks-Glen Park,67,0,1,47,26881,5436598,2420,2960,3660,5020,6020,0.004944452
LA,Lawndale,0,0,0,1,34924,6990335,2000,2460,3200,4380,4920,0.004996041
LA,West Adams (City of LA),22,0,1,51,47596,9402209,1500,1820,2380,3260,3660,0.005062215
SF,Outer Richmond,56,1,1,157,41203,8042964,2300,2820,3480,4760,5720,0.005122863
LA,Highland Park (City of LA),21,1,1,56,62430,12111674,1620,1980,2580,3540,3960,0.005154531
LA,West Fairfax (City of LA),8,0,1,66,28418,5330221,2300,2800,3660,5020,5620,0.005331486
LA,Hawthorne (Holly Park),0,0,0,1,93193,17375880,1520,1860,2420,3320,3720,0.005363354
LA,North Hollywood (City of LA),14,0,1,73,37180,6865017,1740,2120,2766.666667,3793.333333,4246.666667,0.005415864
SF,Potrero Hill,33,1,1,412,26599,4875049,3160,3860,4760,6520,7820,0.00545615
LA,Lynwood,0,0,0,0,69745,12703572,1480,1820,2360,3240,3620,0.005490188
Chicago,Near North Side,1,0,0,4096,33355,6067125,2020,2300,2730,3480,4060,0.005497662
LA,Downtown Los Angeles (City of LA),12,2,5,456,97094,17047166,1420,1744,2268,3112,3484,0.005695609
LA,Boyle Heights (City of LA),31,1,3,67,48852,8535582,1300,1600,2080,2860,3200,0.005723336
LA,Park La Brea (City of LA),10,0,1,129,36865,6401943,2660,3260,4260,5840,6540,0.005758408
NYC,Southeast Queens,34,1,6,4672,189171,32480815,1905,1988.333333,2360,3068.333333,3621.666667,0.005824084
LA,East Los Angeles,0,0,0,9,67179,11357617,1360,1680,2180,2980,3340,0.005914885
NYC,Canarsie and Flatlands,31,0,5,4434,195027,32600816,1710,1790,2120,2755,3250,0.005982274
LA,Glendale (Verdugo City),0,0,0,0,156,25915,2540,3100,4040,5540,6200,0.00601968
NYC,Central Queens,17,0,4,2510,96831,15991463,1825,1905,2260,2940,3465,0.006055168
LA,Echo Park/Silverlake (City of LA),19,0,2,95,67869,11163835,1480,1820,2360,3240,3620,0.006079363
LA,Westwood (City of LA),4,0,1,92,47452,7608226,2640,3240,4220,5780,6480,0.006236934
LA,Florence/South Central (City of LA),0,0,0,23,57110,9071361,1400,1720,2240,3080,3440,0.006295637
LA,Sawtelle (City of LA)/West Los Angeles (City of LA),13,0,1,137,42147,6659051,2240,2740,3560,4880,5460,0.00632928
LA,Country Club Park (City of LA)/Mid City (City of LA),6,1,3,77,64458,10080662,1660,2020,2640,3620,4060,0.006394223
SF,Parkside/Forest Hill,71,2,1,89,43698,6793787,2520,3080,3800,5200,6240,0.006432053
LA,Watts (City of LA),7,0,0,7,51223,7930685,1460,1780,2320,3180,3560,0.006458837
LA,Bell/Bell Gardens/Cudahy,0,0,0,3,101279,15670274,1560,1900,2480,3400,3800,0.006463129
SF,Visitacion Valley/Sunnydale,56,3,2,73,40798,6306233,2080,2540,3140,4300,5160,0.006469472
LA,South Central (City of LA),91,4,9,313,381653,58194441,1462.857143,1788.571429,2331.428571,3197.142857,3582.857143,0.006558238
LA,Jefferson Park (City of LA),15,0,1,26,49310,7500313,1400,1700,2220,3040,3400,0.006574392
LA,City Terrace,2,0,0,19,55758,8476100,1400,1720,2240,3080,3440,0.006578261
LA,Athens,16,2,2,34,89779,13303825,1420,1740,2280,3120,3500,0.00674836
NYC,Rockaways,43,0,6,2469,110899,16313992,1122,1173,1392,1809,2136,0.006797784
Chicago, Old Irving Park,7,0,1,2468,71663,10468217,1420,1620,1920,2440,2860,0.006845769
LA,Glendale (Tropico),0,0,0,0,53842,7809474,1710,2080,2720,3730,4180,0.006894446
Chicago,North Center,17,1,1,3898,92084,13107751,1580,1800,2140,2720,3180,0.007025156
Chicago,Alta Vista Terrace,9,2,1,2791,48281,6748617,1780,2020,2400,3060,3560,0.007154207
Chicago,Belmont Gardens,11,2,2,3367,90407,12631958,1480,1680,2000,2540,2980,0.007157006
LA,Palms (City of LA),1,0,0,64,57964,8085207,1960,2400,3140,4300,4820,0.007169142
LA,Panorama City (City of LA),12,0,1,96,69817,9730355,1710,2080,2720,3730,4180,0.007175175
Chicago, Peterson Park,6,1,1,2683,38104,5253542,1540,1760,2080,2660,3100,0.007253011
Chicago,Bucktown,20,1,1,4877,66617,8944390,2020,2300,2720,3460,4040,0.007447909
SF,Inner Richmond,57,5,1,236,38319,5106525,2320,2840,3500,4800,5740,0.007503929
SF,South of Market,18,7,0,497,27170,3512156,1820,2240,2760,3780,4540,0.007735989
Chicago, West Ridge,8,1,1,904,45274,5847014,1540,1760,2080,2660,3100,0.007743098
Chicago,Lincoln Square,13,4,2,3257,78651,10122969,1520,1720,2040,2600,3040,0.007769559
LA,Huntington Park/Walnut Park,0,0,0,0,75066,9638256,1340,1640,2140,2940,3280,0.007788338
Chicago,Cathedral District,9,0,1,4287,28718,3637982,2280,2600,3080,3920,4580,0.007893937
SF,Marina,33,0,2,165,23088,2866147,2800,3440,4240,5800,6960,0.008055414
NYC,Southeast Bronx,49,2,10,8833,297927,36630546,1562.5,1635,1935,2517.5,2965,0.008133294
LA,Maywood,0,0,0,0,27372,3346384,1480,1820,2360,3240,3620,0.008179575
Chicago,Noble Square,13,6,1,4334,52548,6389531,1800,2040,2420,3080,3600,0.008224078
Chicago,West Town,19,6,3,4470,87291,10511986,1580,1780,2120,2700,3160,0.008303949
Chicago,Belmont Harbor,10,2,2,4361,65996,7914162,1880,2120,2520,3220,3740,0.008338975
NYC,North Queens,45,0,9,15668,259767,30893582,1791.428571,1868.571429,2215.714286,2880,3394.285714,0.008408445
NYC,Kingsbridge and Riverdale,30,0,4,2801,90892,10807214,1680,1755,2085,2715,3195,0.008410308
