Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
Canyon Country,0,0,0,0,40328,128490151,1040,1270,1660,2275,2550,0.000313861
Watts (City of LA)/Willowbrook,0,0,0,4,40952,8624370,750,910,1190,1630,1830,0.004748405
Encino (City of LA),0,0,0,107,41270,28553230,1240,1515,1975,2705,3030,0.001445371
Rancho Palos Verdes,0,0,0,1,41804,43402847,880,1070,1400,1920,2150,0.000963163
Sawtelle (City of LA)/West Los Angeles (City of LA),0,0,1,137,42147,6659051,1120,1370,1780,2440,2730,0.00632928
Hyde Park (City of LA)/View Park/Windsor Hills,0,0,3,32,44789,10708405,760,940,1220,1670,1870,0.004182602
Westlake (City of LA),0,0,1,67,44998,2327917,670,820,1070,1470,1640,0.019329727
Winnetka (City of LA),0,0,0,30,45061,10781255,850,1040,1360,1860,2090,0.004179569
Griffith Park (City of LA)/Los Feliz (City of LA),0,0,1,128,45151,21671926,850,1040,1350,1850,2070,0.002083387
Cypress Park (City of LA)/Glassell Park (City of LA)/Mt. Washin,1,1,2,47,45527,13674178,750,910,1190,1630,1830,0.003329414
El Sereno (City of LA)/Monterey Hills (City of LA),0,0,2,35,45786,12375736,720,880,1150,1580,1770,0.003699659
East Los Angeles (City of LA),0,0,1,56,45903,11030884,700,850,1110,1520,1700,0.004161317
Culver City,0,0,0,26,46915,17275808,517.5,632.5,825,1130,1267.5,0.002715647
Westwood (City of LA),0,0,1,92,47452,7608226,1320,1620,2110,2890,3240,0.006236934
West Adams (City of LA),0,0,1,51,47596,9402209,750,910,1190,1630,1830,0.005062215
Sun Valley (City of LA),0,0,1,51,47807,30813290,800,970,1270,1740,1950,0.001551506
Mount Olympus (City of LA),0,0,1,88,48581,14974008,960,1170,1530,2100,2350,0.003244355
Boyle Heights (City of LA),1,1,3,67,48852,8535582,650,800,1040,1430,1600,0.005723336
Jefferson Park (City of LA),0,0,1,26,49310,7500313,700,850,1110,1520,1700,0.006574392
Compton/Rancho Dominguez,0,0,0,0,49328,17992443,750,910,1190,1630,1830,0.002741595
Watts (City of LA),0,0,0,7,51223,7930685,730,890,1160,1590,1780,0.006458837
Granada Hills (City of LA),0,0,1,57,51747,43401915,1130,1380,1800,2470,2760,0.001192275
East Rancho Dominguez,0,0,0,1,53704,14074957,760,930,1210,1660,1860,0.003815571
Glendale (Tropico),0,0,0,0,53842,7809474,855,1040,1360,1865,2090,0.006894446
Sherman Oaks (City of LA)/Van Nuys (City of LA),0,0,1,161,54475,20804911,1105,1355,1765,2420,2715,0.002618372
Mar Vista (City of LA),0,0,2,40,55277,12890748,960,1170,1530,2100,2350,0.004288114
City Terrace,0,0,0,19,55758,8476100,700,860,1120,1540,1720,0.006578261
Westlake Village,0,0,0,0,56483,139282263,1135,1385,1805,2475,2770,0.000405529
Florence/South Central (City of LA),0,0,0,23,57110,9071361,700,860,1120,1540,1720,0.006295637
Palms (City of LA),0,0,0,64,57964,8085207,980,1200,1570,2150,2410,0.007169142
Pico Heights (City of LA),1,1,1,159,59185,4972248,650,800,1040,1430,1600,0.011903067
Northridge (City of LA),0,0,0,172,60086,23931668,920,1125,1470,2015,2260,0.002510732
North Hills (City of LA),0,0,1,43,60254,15344725,820,1000,1310,1800,2010,0.003926691
Santa Clarita (Valencia),0,0,0,0,61327,63087414,1355,1660,2160,2960,3315,0.000972096
Highland Park (City of LA),1,1,1,56,62430,12111674,810,990,1290,1770,1980,0.005154531
Country Club Park (City of LA)/Mid City (City of LA),1,1,3,77,64458,10080662,830,1010,1320,1810,2030,0.006394223
Woodland Hills (City of LA),0,0,2,145,65350,38984596,1305,1600,2085,2855,3200,0.001676303
East Los Angeles,0,0,0,9,67179,11357617,680,840,1090,1490,1670,0.005914885
Echo Park/Silverlake (City of LA),0,0,2,95,67869,11163835,740,910,1180,1620,1810,0.006079363
Lynwood,0,0,0,0,69745,12703572,740,910,1180,1620,1810,0.005490188
Panorama City (City of LA),0,0,1,96,69817,9730355,855,1040,1360,1865,2090,0.007175175
Reseda (City of LA),0,0,1,97,74363,17083043,900,1100,1430,1960,2200,0.00435303
Huntington Park/Walnut Park,0,0,0,0,75066,9638256,670,820,1070,1470,1640,0.007788338
Redondo Beach/Torrance,0,0,0,1,75364,22116055,1235,1510,1970,2700,3025,0.00340766
Canoga Park (City of LA),0,0,2,119,77086,30054392,590,720,940,1290,1443.333333,0.002564883
Hollywood (City of LA),1,1,2,296,79917,28210668,860,1056.666667,1376.666667,1883.333333,2113.333333,0.002832865
Burbank,0,0,0,3,81902,33191440,663,808,1055,1447,1620,0.002467564
Gardena,0,0,0,24,84103,29925051,773.3333333,950,1236.666667,1693.333333,1896.666667,0.002810455
Athens,2,2,2,34,89779,13303825,710,870,1140,1560,1750,0.00674836
Lake View Terrace (City of LA)/Sylmar (City of LA),2,2,3,60,91725,143422182,950,1170,1520,2080,2330,0.000639545
Hawthorne (Holly Park),0,0,0,1,93193,17375880,760,930,1210,1660,1860,0.005363354
South Gate,0,0,0,1,94396,19222788,730,900,1170,1600,1800,0.00491063
Downtown Los Angeles (City of LA),2,2,5,456,97094,17047166,710,872,1134,1556,1742,0.005695609
Hancock Park (City of LA),0,0,2,234,101147,10822013,785,965,1255,1720,1925,0.009346413
Bell/Bell Gardens/Cudahy,0,0,0,3,101279,15670274,780,950,1240,1700,1900,0.006463129
North Hollywood,1,1,1,130,101301,22846328,770,945,1230,1685,1890,0.004434017
Arleta (City of LA)/Pacoima (City of LA),0,0,1,80,103689,23048758,920,1130,1470,2010,2260,0.004498681
Downey,0,0,0,3,111772,32583253,662.5,807.5,1055,1447.5,1620,0.003430351
Glendale,0,0,0,3,118647,58732255,743.3333333,908.3333333,1185,1624.166667,1820.833333,0.002020134
Pasadena,0,0,0,8,153114,66101116,791.6666667,965.8333333,1260.833333,1729.166667,1936.666667,0.00231636
Van Nuys (City of LA),0,0,1,233,166616,43947785,738.75,901.25,1177.5,1615,1807.5,0.003791226
South Central (City of LA),4,4,9,313,381653,58194441,731.4285714,894.2857143,1165.714286,1598.571429,1791.428571,0.006558238
