Score,ZIP
80,78612
62,78612
88,78612
59,78612
100,78612
84,78612
81,78612
86,78612
87,78613
80,78613
83,78613
84,78613
85,78613
80,78613
84,78613
90,78613
82,78613
84,78613
84,78613
92,78613
96,78613
84,78613
92,78613
90,78613
94,78613
81,78613
83,78613
92,78613
96,78613
100,78613
93,78613
93,78613
97,78613
94,78613
100,78613
90,78613
92,78613
100,78613
100,78613
81,78613
87,78613
96,78613
89,78613
88,78613
80,78613
77,78613
85,78613
95,78613
90,78613
93,78613
93,78613
97,78613
78,78613
92,78613
72,78613
100,78613
90,78613
98,78613
80,78613
94,78613
94,78613
97,78613
93,78613
94,78613
96,78613
87,78613
92,78613
90,78613
87,78613
97,78613
96,78613
89,78613
97,78613
94,78613
97,78613
100,78613
100,78613
87,78613
100,78613
96,78613
99,78613
97,78613
100,78613
94,78613
100,78613
100,78613
92,78613
90,78613
91,78613
93,78613
97,78613
92,78613
96,78613
88,78613
86,78613
93,78613
100,78613
89,78613
92,78613
93,78613
93,78613
96,78613
100,78613
93,78613
95,78613
93,78613
96,78613
100,78613
97,78613
100,78613
90,78613
90,78613
97,78613
76,78613
81,78613
71,78613
90,78613
76,78613
88,78613
96,78613
97,78613
97,78613
97,78613
95,78613
95,78613
97,78613
86,78613
93,78613
100,78613
91,78613
89,78613
100,78613
83,78613
97,78613
85,78613
81,78613
88,78613
100,78613
97,78613
97,78613
100,78613
100,78613
100,78613
97,78613
100,78613
100,78613
99,78613
100,78613
97,78613
71,78613
89,78613
97,78613
90,78613
85,78613
89,78613
92,78613
100,78613
88,78613
90,78613
100,78613
96,78613
77,78613
90,78613
84,78613
92,78613
96,78613
97,78613
92,78613
97,78613
89,78613
100,78613
100,78613
94,78613
97,78613
97,78613
93,78613
97,78613
93,78613
97,78613
100,78613
93,78613
85,78613
97,78613
97,78613
100,78613
100,78613
91,78613
74,78613
90,78613
88,78613
80,78613
99,78613
100,78613
96,78613
96,78613
100,78613
100,78613
100,78613
98,78613
83,78613
85,78613
93,78613
81,78613
94,78613
85,78613
83,78613
86,78613
94,78613
90,78613
84,78613
100,78613
93,78613
87,78613
92,78613
100,78613
87,78613
93,78613
82,78613
93,78613
96,78613
100,78613
99,78613
79,78613
86,78613
80,78613
91,78613
92,78613
81,78613
82,78613
76,78613
74,78613
96,78615
86,78615
86,78615
97,78615
97,78615
88,78615
89,78617
100,78617
100,78617
100,78617
91,78617
98,78617
93,78617
83,78617
85,78617
85,78617
90,78617
85,78617
89,78617
95,78617
97,78617
97,78617
98,78617
95,78617
97,78617
94,78617
99,78617
84,78617
94,78617
97,78617
100,78617
100,78617
94,78617
97,78617
100,78617
88,78617
90,78617
88,78617
77,78617
85,78617
89,78617
96,78617
87,78617
97,78617
97,78617
100,78617
100,78617
99,78617
93,78617
100,78617
94,78617
92,78617
93,78617
100,78617
91,78617
85,78617
78,78617
85,78617
73,78617
84,78617
94,78617
88,78617
90,78617
100,78617
80,78617
85,78617
97,78617
77,78617
91,78617
79,78617
94,78617
94,78617
88,78617
97,78617
87,78617
93,78617
82,78617
84,78617
100,78617
96,78617
100,78617
94,78617
87,78617
100,78617
96,78617
93,78617
88,78617
90,78617
88,78617
88,78617
72,78617
75,78617
90,78617
83,78617
94,78617
82,78617
91,78617
93,78617
88,78617
77,78617
97,78617
95,78617
90,78617
83,78617
85,78617
82,78617
80,78617
95,78617
87,78617
100,78617
88,78617
94,78617
100,78617
84,78617
85,78617
86,78617
74,78617
77,78617
94,78617
83,78617
91,78617
100,78617
98,78617
91,78617
94,78617
100,78617
94,78617
95,78617
95,78617
78,78617
86,78617
94,78617
92,78617
84,78617
95,78617
92,78617
85,78617
84,78617
100,78617
96,78617
100,78617
94,78617
89,78617
90,78617
100,78617
93,78617
97,78617
92,78617
100,78617
86,78617
98,78617
92,78617
96,78617
79,78617
96,78617
96,78617
96,78617
98,78617
74,78617
96,78617
88,78617
100,78617
97,78617
98,78617
100,78617
97,78617
95,78617
97,78617
99,78617
94,78617
95,78617
97,78617
100,78617
97,78617
100,78617
97,78617
94,78617
96,78617
88,78617
99,78617
99,78617
97,78617
97,78617
100,78617
94,78617
100,78617
91,78617
91,78617
99,78617
98,78617
96,78617
98,78617
97,78617
98,78617
97,78617
88,78617
90,78617
97,78617
97,78617
97,78617
93,78617
97,78617
100,78617
96,78617
95,78617
99,78617
100,78617
99,78617
94,78617
100,78617
97,78617
94,78617
100,78617
98,78617
95,78617
88,78617
83,78617
97,78617
97,78617
98,78617
87,78617
89,78617
95,78617
100,78617
95,78617
94,78617
97,78617
96,78617
84,78617
87,78617
59,78617
96,78617
90,78617
92,78617
83,78617
89,78617
93,78617
86,78617
83,78617
100,78617
74,78617
81,78617
77,78617
73,78617
79,78617
91,78617
64,78617
76,78617
65,78617
86,78617
76,78617
84,78617
95,78617
76,78617
84,78617
85,78617
90,78617
93,78617
80,78617
66,78617
75,78617
90,78617
89,78617
97,78617
84,78617
87,78617
94,78617
83,78617
100,78617
96,78617
93,78617
85,78617
84,78617
97,78617
91,78617
96,78617
95,78617
97,78617
89,78617
90,78617
90,78617
80,78617
93,78617
93,78617
100,78620
97,78620
97,78620
100,78620
98,78620
97,78620
99,78620
95,78620
91,78620
85,78620
86,78620
86,78620
86,78620
100,78620
100,78620
90,78620
100,78620
100,78620
88,78620
100,78620
84,78620
99,78620
97,78620
95,78620
99,78620
92,78641
100,78641
100,78641
87,78641
100,78641
100,78641
98,78641
100,78641
94,78641
100,78641
100,78641
100,78641
94,78641
100,78641
100,78641
85,78641
83,78641
94,78641
87,78641
90,78641
97,78641
100,78641
84,78641
100,78641
97,78641
86,78641
100,78641
93,78641
100,78641
93,78641
94,78641
96,78641
96,78641
93,78652
88,78652
100,78652
87,78652
85,78652
93,78652
100,78652
96,78652
99,78652
100,78652
100,78652
93,78652
97,78652
97,78652
97,78652
97,78652
100,78652
92,78652
99,78652
100,78652
99,78652
96,78652
100,78652
100,78652
100,78652
94,78652
97,78652
97,78652
95,78652
97,78652
96,78652
97,78652
94,78652
90,78652
100,78652
97,78652
100,78652
100,78652
100,78652
100,78652
96,78652
94,78652
92,78652
90,78652
94,78652
95,78652
100,78652
97,78652
95,78652
93,78652
94,78652
90,78652
100,78652
94,78652
90,78652
91,78652
97,78652
97,78652
97,78652
88,78653
85,78653
79,78653
100,78653
97,78653
97,78653
96,78653
100,78653
97,78653
100,78653
94,78653
86,78653
97,78653
88,78653
91,78653
93,78653
88,78653
94,78653
97,78653
97,78653
97,78653
95,78653
90,78653
100,78653
98,78653
100,78653
100,78653
100,78653
100,78653
93,78653
100,78653
100,78653
96,78653
84,78653
100,78653
100,78653
100,78653
96,78653
100,78653
100,78653
97,78653
100,78653
94,78653
98,78653
89,78653
96,78653
86,78653
81,78653
99,78653
100,78653
95,78653
83,78653
91,78653
92,78653
95,78653
93,78653
86,78653
100,78653
90,78653
94,78653
94,78653
100,78653
97,78653
100,78653
98,78653
94,78653
97,78653
94,78653
97,78653
97,78653
97,78653
92,78653
97,78653
96,78653
97,78653
97,78653
97,78653
97,78653
97,78653
97,78653
94,78653
97,78653
97,78653
92,78653
97,78653
92,78653
100,78653
92,78653
95,78653
