Zip Code,Inspection Date,Score
78730,7/27/2015,78
78726,9/19/2016,94
78701,12/21/2016,95
78756,12/31/2014,90
78702,11/19/2015,98
78701,9/8/2016,88
78723,12/23/2015,87
78757,6/25/2015,91
78751,11/25/2014,100
78745,11/19/2014,89
78705,8/28/2015,97
78717,8/8/2014,94
78753,7/25/2014,96
78737,3/13/2014,88
78705,4/10/2015,97
78717,2/4/2016,90
78701,9/29/2016,88
78738,5/17/2016,92
78748,11/9/2016,95
78726,9/23/2016,83
78745,1/20/2016,100
78613,12/10/2015,84
78701,2/19/2016,93
78744,10/1/2014,97
78731,12/29/2015,100
78723,10/8/2015,97
78745,4/30/2015,74
78722,9/1/2016,90
78723,5/2/2016,98
78750,9/2/2016,90
78728,4/21/2015,91
78726,11/7/2014,97
78757,6/17/2016,84
78759,6/18/2015,89
78721,8/26/2016,84
78759,8/14/2014,88
78660,1/8/2016,98
78704,2/11/2014,91
78704,7/22/2016,93
78717,4/29/2014,100
78758,11/25/2015,91
78758,12/4/2015,92
78744,2/10/2015,89
78701,1/7/2016,92
78726,1/6/2017,100
78660,11/6/2015,100
78745,6/23/2014,100
78702,5/24/2016,96
78721,6/9/2015,97
78704,6/2/2015,94
78726,7/1/2016,96
78731,7/31/2015,100
78705,11/28/2016,95
78704,11/14/2016,76
78744,4/15/2016,96
78704,3/31/2015,92
78748,8/6/2015,79
78756,5/4/2016,87
78722,7/28/2015,97
78749,1/12/2017,100
78736,11/4/2014,94
78750,9/13/2016,94
78702,4/29/2014,89
78748,11/17/2016,97
78705,12/10/2015,98
78701,7/2/2015,92
78702,5/21/2015,88
78704,10/15/2014,81
78722,10/2/2014,90
78705,3/24/2014,100
78723,5/17/2016,82
78741,4/29/2015,92
78728,3/6/2015,100
78701,3/26/2015,91
78726,2/18/2014,91
78730,5/20/2015,90
78704,5/24/2016,73
78702,10/1/2015,92
78613,7/14/2014,85
78728,10/14/2016,100
78704,3/12/2015,87
78744,4/14/2014,97
78745,5/2/2016,100
78728,2/13/2014,100
78702,6/1/2015,91
78705,2/11/2016,82
78753,2/27/2014,97
78723,8/16/2016,94
78717,3/10/2015,100
78751,10/28/2015,83
78752,6/21/2016,90
78728,12/9/2014,100
78753,3/18/2016,82
78701,8/9/2016,90
78735,11/18/2015,88
78745,4/23/2015,96
78704,2/2/2016,93
78749,3/29/2016,99
78749,4/3/2015,94
78749,9/16/2016,91
78749,10/1/2015,93
78749,10/17/2014,93
78750,12/6/2016,95
78723,4/10/2015,94
78701,11/10/2016,83
78723,2/25/2014,89
78748,3/2/2015,91
78613,1/5/2015,80
78702,9/30/2014,90
78748,3/18/2016,100
78745,5/19/2015,74
78704,12/9/2016,92
78727,9/5/2014,86
78705,1/22/2016,94
78745,10/6/2015,100
78752,5/2/2014,100
78757,7/13/2015,89
78705,8/21/2015,97
78741,5/14/2015,91
78735,5/26/2015,100
78748,7/6/2015,74
78744,10/28/2014,87
78731,3/17/2015,85
78749,8/15/2016,89
78749,2/12/2016,85
78727,3/23/2015,97
78741,8/3/2016,83
78757,10/13/2015,96
78701,3/6/2015,86
78728,4/1/2015,97
78735,9/22/2015,97
78757,5/14/2015,97
78738,11/4/2014,93
78735,4/1/2016,100
78725,4/16/2015,88
78653,7/2/2014,85
78756,12/11/2014,96
78728,3/4/2016,84
78753,10/20/2015,72
78753,10/30/2015,92
78748,11/30/2016,97
78702,7/1/2015,77
78717,9/16/2015,97
78704,10/13/2015,92
78704,4/11/2016,86
78731,4/28/2014,64
78704,9/9/2015,94
78731,1/6/2016,80
78726,5/28/2014,100
78701,9/24/2015,87
78704,12/16/2014,85
78717,1/6/2017,92
78702,6/28/2014,89
78704,3/11/2014,90
78731,1/30/2015,100
"6
Austin, TX  78741",8/31/2015,80
78653,6/3/2015,79
78702,7/22/2014,82
78750,3/25/2014,100
78736,4/23/2015,90
78726,7/22/2014,100
78731,5/29/2015,89
78753,1/6/2017,94
78613,11/21/2014,84
78748,7/8/2014,100
78702,1/10/2017,90
78748,7/29/2016,100
78758,11/9/2016,82
78745,6/17/2015,100
78750,6/29/2016,78
78748,12/12/2016,89
78748,8/18/2014,100
78759,12/21/2015,92
78757,3/19/2015,78
78723,10/12/2016,88
78653,2/26/2015,100
78653,3/3/2016,97
78653,3/24/2014,97
78653,8/10/2016,96
78653,8/20/2015,100
78653,9/16/2014,97
78729,6/30/2015,86
78750,2/27/2014,97
78704,5/27/2014,92
78749,2/19/2014,84
78753,5/14/2015,90
78749,1/8/2016,98
78721,4/6/2016,95
78701,3/28/2016,82
78757,4/19/2016,83
78660,4/22/2015,87
78749,9/9/2015,88
78741,1/15/2015,90
78702,12/29/2015,92
78752,10/29/2015,71
78660,12/1/2014,97
78701,7/29/2016,97
78704,7/2/2014,87
78702,2/24/2014,97
78704,5/5/2016,90
78746,12/1/2015,97
78705,9/25/2014,97
78705,1/13/2015,94
78745,9/13/2016,100
78705,11/28/2016,85
78738,4/15/2015,100
78759,2/21/2014,97
78745,11/19/2015,95
78704,12/2/2015,89
78730,9/11/2014,89
78660,6/10/2014,83
78758,3/6/2014,96
78735,4/1/2016,92
78705,4/21/2015,100
78613,7/28/2015,90
78726,1/12/2015,94
78753,10/9/2015,96
78735,3/24/2015,100
78744,9/14/2016,79
78745,6/7/2016,97
78727,1/4/2016,91
78613,7/3/2014,82
78701,2/24/2015,81
78736,11/22/2016,90
78701,8/15/2014,100
78731,2/27/2014,100
78753,7/31/2014,94
78741,11/23/2016,95
78703,9/29/2015,100
78744,2/17/2016,92
78752,1/14/2015,100
78702,11/2/2015,100
78723,10/16/2014,90
78701,11/23/2015,85
78759,6/9/2016,95
78702,7/27/2016,80
78748,12/9/2016,97
78757,6/30/2016,95
78704,12/16/2016,98
78704,9/24/2015,89
78705,8/28/2014,97
78757,6/2/2015,97
78704,9/19/2014,92
78723,3/26/2015,92
78751,5/6/2015,97
78759,1/25/2016,85
78745,10/23/2014,76
78737,8/17/2015,97
78745,7/13/2015,96
78660,2/3/2015,100
78726,4/10/2015,84
78717,2/6/2014,97
78660,3/23/2016,81
78750,9/10/2014,100
78701,9/22/2016,89
78737,3/1/2016,85
